id,payor,payee,amount
62193,Tony Voeks,Rita Ray,8.9
62194,Kathleen Hoffman,Craig Mann,0.1
62195,Jose Smith,Maria Reny,189.8
62196,James Finley,Ruby Gomez,0.6
62197,Jeffery Turner,Edythe Wong,9.9
62198,Johnathan Clark,Debbie Reynolds,0.1
62199,Mary Thompson,Dale Robinson,9.8
62200,Donna Goodwin,Ronald Wright,12.409
62201,Allen Lucero,Amber Wilson,319.8
62202,Steve Blackford,Carol Sellner,0.8
62203,Sarah Miller,Stefani Brandenburg,6.4
62204,Kent Vincent,Milagros Burroughs,3.5
62205,Robert Araujo,Darren Feliciano,7.5
62206,Norbert Sokoloski,Elizabeth Morris,7.3
62207,Ernest Herrera,Diane Hilliard,4.1
62208,Vickie Johnson,Carol Sellner,1.3
62209,Amos Haak,Bertha Samuelson,0.1
62210,Christine Williams,Jean Williams,5.2
62211,April Murry,Edgar Whitmire,6.2
62212,Roger Thomas,Walter Cathey,0.3
62213,Gary Weston,Brenda Chapen,1.5
62214,Tressa Conde,Rebecca Johnson,84.5
62215,Douglas Davis,Alan Enos,9.3
62216,Henry Noah,William Zook,5.6
62217,Lena Patterson,Peter Comstock,2.3
62218,Richard Fontaine,Robert Steier,4.8
62219,Ruth Quezada,Christopher Hyatt,4.4
62220,Lee Morse,Richard Ortiz,6.3
62221,Priscilla Gibson,Stacey Mcdonald,0.3
62222,Paul Kirkland,Christian Fannell,224.0
62223,Delia Collis,Michael Edwards,4.5
62224,Jeffery Turner,Hobert Ventura,12.709
62225,Michael Elkin,Antonio Harness,0.8
62226,Colene Edelman,Pauline Winstead,0.3
62227,Freeman Ahmed,Alvin Runk,114.9
62228,Alisa Harbach,Stacey Mcdonald,4.0
62229,Raymond Samuel,Tim Zorn,136.6
62230,Mary Lampman,Morgan Rowland,7.8
62231,Frank Mercedes,David Cobb,141.8
62232,David Brochu,Chas Ochs,6.7
62233,Diane Mcbride,Joseph Green,9.5
62234,Laura Cochran,Morton Gillette,19.3
62235,Sarah Clark,Tara Hudson,0.2
62236,Darnell Brown,Michael Jones,5.2
62237,Susan Argabright,Debra Blank,9.0
62238,Stephan Santamaria,Glenn Ross,28.9
62239,Vida Aguilar,Jeremy Gomez,24.4
62240,Scott Patterson,Matthew Thomas,1.8
62241,Gayle Baldwin,Brenda Chapen,154.7
62242,Petra Ingram,Donna Goodwin,9.6
62243,Katherine Hamilton,Alexander Flynn,2.9
62244,Emily Seneca,Jimmy Corcoran,7.7
62245,Keneth Banks,Thomas Melito,0.1
62246,Patricia Huang,Virginia Moss,33.551
62247,Becky Armstrong,Carol West,1.1
62248,Beth Forbes,Teresa Milne,9.1
62249,David Jackson,Elizabeth Morris,202.7
62250,Scott Arredondo,Kevin Dotter,9.7
62251,Keith Jones,Lonnie Conley,0.3
62252,George Grant,Sandra Fisher,4.6
62253,Janine Condon,Dolores Roy,90.0
62254,Richard Bolling,Linda Scruggs,3.7
62255,Jeffrey Mosley,Sandra Mcneil,242.7
62256,Lena Patterson,Carolyn Burton,7.1
62257,Ann Howell,Samantha Reyes,6.4
62258,Sarah Rodriguez,Michael Taylor,9.9
62259,Pamela Wilson,David Lejeune,1.0
62260,Michael Ignacio,Eugene Dickerson,2.3
62261,Amber Rogers,Anna Austin,5.3
62262,Michelle Smith,Richard Ayala,1.7
62263,Jerome Whyms,Anthony Barajas,196.2
62264,Julie Livingston,Julia Segura,1.5
62265,Gary Wooley,Dennis Anderson,0.1
62266,Elizabeth Langer,Jeremy Gomez,0.2
62267,Kim Sprague,Jane Liriano,3.4
62268,Benjamin Brown,David Ryan,0.9
62269,Jennifer Farrar,Philomena Davison,2.8
62270,Stefani Brandenburg,Patrick Gist,3.1
62271,James Casarez,Patricia Hester,0.4
62272,Daniel Charles,Shirley Mccombs,93.5
62273,Joann Bay,Albert Lemasters,1.3
62274,Mike Peak,Debra Hulbert,11.2
62275,Kent Vincent,William Lovelace,0.2
62276,Joseph Cohen,David Yang,0.0
62277,Timothy Peterson,Aaron Massman,8.2
62278,Marie Simons,Dolores Roy,3.1
62279,Aaron Young,Breanna Kitt,0.9
62280,William Smolen,Bertha Samuelson,14.406
62281,Jennie Whittenberg,Angie Rivera,434.8
62282,Michele Cannon,Helen Silmon,2.1
62283,Cherie Taylor,Mable Moldenhauer,53.711
62284,Mildred Lo,Amber Buchanan,2.8
62285,Joseph Tyler,Jeffery Turner,6.0
62286,Stephen Moss,Wendell Sprankle,0.6
62287,Mary Huro,Jason Goodrich,6.9
62288,Pearl Metzger,Richard Ayala,7.8
62289,Michele Cannon,Stephen Faust,15.299000000000001
62290,Rosita Simpson,Donald Perkins,3.9
62291,Thomas Seay,Tim Zorn,847.0
62292,Annette Pacheo,Terri Carson,5.1
62293,Linda Enriquez,Allen Lucero,3.7
62294,Alice Butler,James March,1.0
62295,Tracy Ramirez,Roxanne Bulfer,21.5
62296,Gracie Johnson,Jennifer Martin,9.2
62297,Cindy Mooney,Fernando Woods,56.2
62298,Scott Patterson,Rebecca Trogdon,145.0
62299,Julio Vanscooter,Louise Davis,539.8
62300,Gretta Rios,Sherri Derby,749.4
62301,Barbara Aguilar,Jill Ferguson,7.9
62302,Sally Oneill,Felipe Lowrance,0.6
62303,Derek Fisher,Tia Moldenhauer,1.9
62304,Kina Miller,Amy Salvador,3.1
62305,Sonia Snedegar,Beth Forbes,1.6
62306,Delpha Stanley,Thelma Coryell,1.4
62307,Ronald Jones,Carla Basham,8.1
62308,Ronald Turnbull,Wendy Johns,11.9
62309,Raymond Taggart,Calvin Hough,608.7
62310,James Duran,Chelsea Randolph,15.578999999999999
62311,Jeffrey Parrish,Aaron Massman,4.4
62312,Doris Dickey,Elaine Caple,0.8
62313,Jackie Guthrie,Fredric Barnes,55.0
62314,Donald Darley,Richard Ortiz,0.9
62315,Geneva Stevens,Rebecca Johnson,395.5
62316,Dale Stradley,Linda Enriquez,0.7
62317,David Johnston,Emmett Greathouse,0.6
62318,Delana Adkins,Patsy Beach,30.5
62319,Chelsea Randolph,Vivian Hein,116.9
62320,Karen Stoker,Raymond Lewis,90.0
62321,Pamela Begay,Kenneth Abreu,3.2
62322,Alexander Huff,David Johnston,7.9
62323,Carl Anderson,Patricia Huang,3.8
62324,Audrey Hall,Devon Laster,4.4
62325,Helen Gage,Walter Keller,0.4
62326,Linda Cooper,Vincent Witcher,1.7
62327,Stephanie Flowers,Tia Moldenhauer,12.638
62328,Louise Kocher,Glenn Ross,2.9
62329,Michael Moore,Chelsea Randolph,79.6
62330,Susana Abney,Francisco Nguyen,0.1
62331,Alvin Lawrence,Vincent Witcher,14.166
62332,Eugene Rhodes,Annie Ammons,1.0
62333,Kenneth Ballance,Julie Reinking,8.2
62334,Joseph Richardson,Rene Collins,3.6
62335,Alice Shay,Karen Stoker,37.1
62336,Michael Patrick,Norbert Sokoloski,9.6
62337,Lavina Blankenship,Irma Copeland,3.0
62338,Gale Fragoso,Mike Peak,0.1
62339,Stephanie Mallette,Ethel Stehle,0.3
62340,Kevin Nixon,Mike Ferguson,66.3
62341,Joel Meadows,Steven Cassem,4.9
62342,Petra Ingram,Josephine Dodson,0.1
62343,Ina Scoby,Jonathan Mccombs,3.0
62344,Karl Mccosker,Anastasia Judd,245.0
62345,Kevin Dotter,Steve Ferrante,140.6
62346,Dale Langan,Rosita Simpson,3.9
62347,Herman Rodriguez,Rachael Shumate,7.9
62348,Barbara Thompson,David Cobb,10.358
62349,Anna Austin,Rebecca Johnson,1.7
62350,Allen Lucero,Paul Burke,0.6
62351,Lyman Leiby,Robert Venegas,0.2
62352,John Shotwell,Rita Snider,3.6
62353,Peggy Duffy,Tad Olson,1.5
62354,Linda Bledsoe,Sarah Mendoza,229.2
62355,Tanya Duffy,Sonia Snedegar,2.4
62356,Grace Williams,Douglas Finnie,0.2
62357,Melanie Ellison,Randall Lopez,32.554
62358,Antonio Richardson,Faye Obrien,0.1
62359,Rita Thornton,Kenneth Abreu,18.286
62360,James Lynch,Tim Zorn,1.3
62361,Grace Williams,Josephine Dodson,2.5
62362,Helen Terhune,Joseph Tyler,7.6
62363,Raymond Rios,Charles Robinson,9.5
62364,Melissa Batters,Michael Stickfort,0.9
62365,Patrick Toupin,Gwen Young,3.3
62366,Robert Bull,Samantha Ball,13.815000000000001
62367,Joseph Hedgepeth,Alice Butler,6.9
62368,Kristin Hodges,Kathleen Carter,61.8
62369,Constance Wells,Gertrude Rizo,69.1
62370,Jane Billiot,Mary Lebeau,13.9
62371,Elizabeth Peng,Doris Sampson,96.676
62372,Nancy Denton,Cristobal Harris,1.3
62373,Cynthia Hollomon,Susan Gilmore,4.6
62374,Michael Stickfort,Roxy Burdock,5.3
62375,Wayne Williams,Catherine Thomas,1.5
62376,Warren Cunningham,Donna Lemelin,9.9
62377,Marcus Nolan,Marilyn Larkin,4.7
62378,Virginia Vanlandingham,Robert Jones,0.1
62379,Anastasia Judd,Lee Morse,8.1
62380,Frederick Pease,Michelle Kinch,4.0
62381,Annie Quick,Geneva Stevens,31.019
62382,Lai Gardner,Rita Conway,4.2
62383,Lou Price,Alexander Flynn,3.3
62384,Robert Madonia,Francis Lechleidner,127.0
62385,Peggy Dowlin,Vincent Mooney,29.4
62386,Tad Olson,Daniel Charles,6.9
62387,Clay Mateo,Donald Perkins,141.4
62388,Christian Parker,David Martinez,5.1
62389,Nick Leiva,Alfred Doran,0.0
62390,Marian Vasmadjides,Loretta Bond,2.6
62391,Darnell Brown,George Kassin,2.1
62392,Candace Lee,John English,7.6
62393,Sherry Adams,Kenneth Abreu,49.6
62394,Gale Fragoso,Todd Yocum,2.9
62395,Zachary Joyal,Milton Carrillo,0.3
62396,Jacquelyn Bowers,Dionna Gough,33.625
62397,Howard Randall,Alexander Gibson,8.8
62398,Bernice Galvan,Rebecca Heminger,0.6
62399,Jose Janelle,Peter Route,0.4
62400,Robert Venegas,Janet Henry,0.5
62401,Diane Hilliard,Suzanne Hines,0.5
62402,Michael Peterson,Wendy Johns,8.0
62403,Tanya Henderson,Cherie Taylor,4.4
62404,Chelsea Randolph,Anthony Burcham,0.2
62405,Paula Lagarde,Steven Cassem,14.9
62406,Robert Shippee,Diane Hilliard,134.1
62407,Julius Armes,Larry Greenblatt,0.1
62408,Jerry Upchurch,Rachael Shumate,371.5
62409,Victor Ouellette,Kendall Hall,3.1
62410,Cynthia Hollomon,James Bailey,0.8
62411,Joan Bailey,Billy West,2.9
62412,Helen Silmon,Mary Keister,2.4
62413,Michael Cross,Matthew Horton,24.1
62414,Lonnie Conley,Janine Condon,0.1
62415,Theodore Lewin,Margaret Matsuda,37.8
62416,David Cobb,William Szymanski,9.6
62417,Jonathan Mccombs,Lee Morse,138.0
62418,Gary Rosales,Quintin Fields,4.0
62419,Derek Fisher,Paul Burke,4.5
62420,Dwayne Shafer,Sharon Wilson,3.6
62421,Alvin Runk,Mary Lampman,8.4
62422,Diane Pacheco,Juan Lampkin,9.0
62423,Theodore Thomas,Christopher Lindsey,98.5
62424,Michael Cross,Sarah Boucher,8.9
62425,Becky Armstrong,Sarah Mendoza,9.5
62426,Pamela Stewart,David Allen,5.8
62427,Amy Barkley,Oscar Sheets,7.8
62428,Jeffrey Lewis,Stacey Mcdonald,120.6
62429,Sharon Cole,Edwin Araujo,0.5
62430,Karen Peterson,Alice Pickup,0.7
62431,Charlene Woody,Sarah Boucher,21.4
62432,Donna Lemelin,Viola Ake,120.3
62433,Robert Steier,Dionna Gough,6.1
62434,David Jackson,Donald Ott,4.2
62435,Thomas Gurry,Harold Levan,3.4
62436,Maria Kirkpatrick,Mary Thompson,0.1
62437,Joseph Cohen,Chas Ochs,9.4
62438,Gwen Young,Maria Kirkpatrick,407.3
62439,Kitty Cleek,Roger Thomas,46.564
62440,Bernice Galvan,Roger Marshall,294.7
62441,Bertha Samuelson,Joseph Hedgepeth,2.6
62442,Marion Duncan,Alan Enos,31.6
62443,Tatiana Patterson,Donna Lemelin,3.3
62444,Laurette Iles,Roger Boehle,6.8
62445,Pearl Metzger,Amanda Haynes,0.8
62446,Wendell Sprankle,Amanda Levings,0.1
62447,Joseph Davis,Stacey Mcdonald,6.4
62448,Christopher Chaffee,Theodore Thomas,1.4
62449,Thomas Gurry,Ernest Herrera,356.9
62450,Gabriel Rodney,Beverly Beebe,79.4
62451,Dale Taylor,Mark Bucher,2.4
62452,Clarence Albrecht,Joann Fowlkes,0.3
62453,Carlos Harting,Rita Snider,1.3
62454,Adam Crum,Ruby Gomez,3.1
62455,Anthony Burcham,Matthew Horton,9.6
62456,Mary Keister,Darrel Whitmer,3.6
62457,Marilyn Larkin,Virginia Moss,2.1
62458,Johnny Atwood,Clarence Albrecht,2.6
62459,Marilyn Timlin,Jorge Talbot,24.1
62460,Lisa Weaver,Billy Mccarrel,7.7
62461,Adam Crum,Donna Stallings,606.0
62462,Doris Sampson,Cynthia Johnson,8.9
62463,Felipe Lowrance,Samantha Slade,0.6
62464,Jerome Tarbutton,Alvin Miller,6.3
62465,Brandon Batiste,Jill Ferguson,7.2
62466,Julie Reinking,Shaun Gonzalez,201.1
62467,Juan Curran,Patricia Seals,4.1
62468,Doris Rogers,Kevin Jones,0.3
62469,Angelique Holman,Machelle Mayer,6.4
62470,Gary Weston,Thomas Marlatt,44.6
62471,Roxy Burdock,Reginald Eatmon,1.2
62472,Virginia Moss,David Hunter,0.4
62473,Keith Jones,Connie Smith,341.3
62474,Dorothy Smith,Ralph Ellis,756.6
62475,Joseph Alfaro,Henry Lawler,268.6
62476,Marie Simons,Allen Wyse,4.9
62477,Betty Duncan,Isaac Raio,35.971
62478,Stephen Nettles,Edward Schaffer,1.2
62479,Martha Hubbard,Susan Gransberry,7.7
62480,Joseph Green,Joseph Tillery,5.4
62481,Dianna Torry,Mary James,0.1
62482,Philomena Davison,Jaime Becerra,67.4
62483,Rodrick Moore,Breanna Kitt,0.4
62484,Pamela Stewart,David Shelpman,0.1
62485,Maria Martinez,James Green,6.3
62486,Lisa Rodriguez,Samantha Hawes,0.1
62487,Richard Preslipsky,Rachael Shumate,0.7
62488,Delia Collis,Edythe Wong,125.0
62489,Amy Barkley,Christopher Milla,0.5
62490,Cesar Jones,John Fahey,23.8
62491,Isaac Helmes,Seth Bruni,2.3
62492,Amber Buchanan,Patrick Gist,2.0
62493,Seth Bruni,Marian Vasmadjides,7.6
62494,Sharon Greene,Jonathan Mccombs,2.4
62495,Robert Steier,Susan Gilmore,118.5
62496,Petra Ingram,Robert Araujo,1.4
62497,Antonio Harness,David Goldberger,4.8
62498,Morton Gillette,Daniel Mosher,5.7
62499,Sarah Miller,Christopher Lindsey,18.8
62500,Shirley Mccombs,William Carnes,3.5
62501,James March,Ruthann Tarrant,0.2
62502,Francis Lilly,Marina Burger,72.1
62503,Peggy Kurtz,Timothy Yarbrough,3.6
62504,Deborah Floyd,Mary Martin,5.4
62505,Tina Sheridan,Gloria Larson,515.1
62506,David Cross,Eric Reece,6.7
62507,Tressa Conde,Samantha Slade,5.4
62508,Billy Mccarrel,Doris Dickey,0.1
62509,Noreen Robinson,Cindy Martin,7.0
62510,Candace Moreland,Derrick Tripp,51.1
62511,William Sim,Keneth Banks,1.7
62512,John Fahey,Sharlene Phelan,3.1
62513,Alexa Prevatte,Gloria Coburn,63.016
62514,Walter Cathey,William Mcginty,1.1
62515,Joseph Lopez,Inez Pam,41.774
62516,Darrel Whitmer,Kathy Spalding,76.0
62517,John Anderson,Thomas Seay,819.9
62518,Johnathan Clark,Donna Sommer,2.4
62519,Vinnie Walt,Dustin Winn,1.6
62520,Aaron Young,Michael Wilkinson,5.4
62521,Jillian Wright,Dale Langan,713.6
62522,Howard Randall,Patricia Huang,0.2
62523,Tina Sheridan,Kathleen Carter,0.2
62524,Melissa Richards,Robert Venegas,83.8
62525,Jimmy Winfrey,Rene Collins,1.7
62526,Billy Tyler,Michael Cross,7.9
62527,Dale Robinson,Roger Boehle,0.2
62528,Elizabeth Peng,Jennifer Caldon,4.8
62529,Rita Thornton,Candace Lee,497.6
62530,Philomena Davison,Charles Robinson,105.6
62531,Betty Tawwater,Viola Ake,7.1
62532,Barbara Juneau,Beatrice Carey,0.4
62533,Robert Shippee,Marissa Miranda,5.0
62534,Thomas Seay,Jill Ferguson,292.3
62535,Patricia Huang,Oscar Smith,155.0
62536,Marissa Miranda,Mary Lampman,0.7
62537,Vincent Newport,Bruce Green,0.3
62538,Pauline Winstead,Derrick Tripp,0.2
62539,Tatiana Patterson,Rosita Simpson,434.3
62540,Linda Scruggs,Carlos Harting,42.2
62541,Jesus Klein,Alicia Maier,1.4
62542,David Yang,Alexa Prevatte,538.9
62543,Maxine Perza,Janice Dumlao,0.5
62544,Jerry Atwell,Robert Jones,3.0
62545,Todd Yocum,Vickie Johnson,12.1
62546,Alice Butler,Michael Elkin,0.2
62547,Sally Oneill,Terry Hill,1.1
62548,Scott Arredondo,Sergio Rowland,4.1
62549,Michael Ashley,Reginald Eatmon,9.9
62550,Velma Anthony,Barbara Kennedy,8.5
62551,Nia Green,Melinda Scott,15.780000000000001
62552,Richard Bolling,Kevin Dotter,7.8
62553,Daniel Yannone,John Shotwell,1.3
62554,Pamela Wilson,Antonio Richardson,0.2
62555,Beth Forbes,Jamie Reinwald,0.9
62556,Janice Dumlao,Naomi Felder,0.1
62557,Naomi Lee,Troy Cervantes,0.2
62558,Elaine Caple,Sarah Mendoza,7.4
62559,Cory Whitney,Jamie Reinwald,6.7
62560,Barbara Juneau,Freddie White,0.3
62561,Christopher Strong,Tia Moldenhauer,0.4
62562,Floyd Olson,Stanley Junkins,153.6
62563,Sharon Koerner,Ethel Stehle,3.0
62564,Patrick Gist,Lara Ziego,1.1
62565,Lena Patterson,Jill Ferguson,43.916000000000004
62566,Christine Williams,Arthur Brown,7.6
62567,Paul Kirkland,Diane Pacheco,1.8
62568,Karen Fullwood,Rita Ray,8.8
62569,Helen Silmon,Louise Davis,4.8
62570,Cindy Martin,Donna Rhodes,156.0
62571,Patrick Gist,Thomas Melito,4.4
62572,Shirley Cilley,Marian Vasmadjides,0.2
62573,Derek Fisher,Donald Irwin,340.8
62574,Inez Pam,Raymond Lewis,6.3
62575,Anthony Dube,Suzette Marston,0.6
62576,Keith Jones,Clay Mateo,3.1
62577,Vi Seawright,Vicki Dawkins,0.4
62578,Christopher Chaffee,Robert Rich,25.5
62579,Freddie White,Allen Wyse,110.199
62580,Dale Langan,Kurt Vagliardo,0.2
62581,Ray Stern,Joann Fowlkes,1.3
62582,Peter Route,Frederick Pease,0.1
62583,Sarah Clark,Teresa Evans,1.3
62584,Ashley Cook,Alvin Runk,8.7
62585,Tanya Duffy,Scott Patterson,0.5
62586,Dustin Winn,Aaron Young,0.6
62587,Ruthann Tarrant,Suzette Marston,1.8
62588,Pamela Wilson,Christian Parker,156.6
62589,Richelle Willis,Teresa Erdmann,1.6
62590,Michael Plank,Elaine Taylor,1.0
62591,James Poindexter,Jose Pao,0.2
62592,Sandra Maas,James Green,6.1
62593,William Smolen,Linda Enriquez,1.3
62594,Candace Lee,Dolores Roy,15.1
62595,Herman Rodriguez,Seth Bruni,0.9
62596,Julio Vanscooter,Marina Burger,11.864
62597,Jeffrey Taylor,William Zook,0.3
62598,Cristobal Harris,Sharon Greene,0.2
62599,Leroy Stovall,Donald Irwin,2.1
62600,Darrel Whitmer,Steven Hilyer,4.3
62601,Carol Edgehill,Allen Lucero,0.2
62602,Helen Gage,Rolf Neale,6.5
62603,Elizabeth Langer,Thomas Gurry,7.7
62604,Judith Billings,Mike Peak,7.1
62605,Cindy Mooney,James Casarez,13.306999999999999
62606,Roxy Burdock,Salvador Galloway,8.5
62607,Elizabeth Morris,Patricia Huang,0.1
62608,Betty Duncan,Odelia Dent,46.3
62609,Mary Keister,John English,0.4
62610,David Jackson,Ernestine Welsh,0.5
62611,Helen Gage,James Casarez,0.2
62612,Janet Coles,Teresa Anderson,8.1
62613,Anna Gaub,Audrey Kuck,41.517
62614,Annie Ammons,Patsy Olson,0.9
62615,Jerome Tarbutton,Chester Stiltner,6.1
62616,Ruth Quezada,Janet Martin,0.1
62617,Angel Lamontagne,Charles Rousseau,3.6
62618,Vincent Mooney,Rita Snider,30.0
62619,Sharon Cole,Candace Moreland,2.1
62620,Emily Seneca,Tara Hudson,6.2
62621,Marilyn Larkin,Mary Gallagher,818.4
62622,Henry Kunz,Kimberly Stone,0.2
62623,Tim Zorn,Sharon Koerner,22.0
62624,James Finley,Shawn Harper,0.6
62625,Melissa Batters,Stanley Junkins,0.1
62626,Raymond Lewis,Rodrigo Jones,8.4
62627,Colene Edelman,Jose Butler,0.4
62628,Shawn Harper,Linda Backey,0.1
62629,Sam Bryant,Sharon Greene,66.3
62630,Reginald Whitrock,Daniel Mosher,188.4
62631,Victor Francis,Marc Pinter,1.9
62632,Elizabeth Peng,Donna Goodwin,4.2
62633,Lou Price,Jeffrey Mosley,1.3
62634,Johnathon Block,James Duran,9.8
62635,Elaine Caple,Lily Bergeson,0.4
62636,Mary Wilson,David Haage,4.7
62637,Jennifer Alley,Amber Wilson,0.1
62638,Thomas Seay,Peter Comstock,65.6
62639,Richard Preslipsky,Reginald Eatmon,0.6
62640,Luciana Vicars,Jennie Whittenberg,12.5
62641,Robert Goan,Ronald Herriman,3.1
62642,Josefina Lucas,Jesse Leonard,0.8
62643,Ronald Turnbull,Sharon Cleckler,7.3
62644,Stephen Jordan,David Lejeune,8.3
62645,Louise Davis,Janet Martin,333.2
62646,Jennie Whittenberg,Rita Thornton,5.2
62647,Pearl Metzger,Edwin Araujo,2.4
62648,David Haage,Anna Gaub,27.22
62649,Marcus Nolan,Mike Penn,0.2
62650,Rafael Camargo,Tina Muncie,0.1
62651,Lucrecia Ellis,Diane Mcbride,0.5
62652,Laura Cochran,Janeth Rodriguez,167.4
62653,Michael Emory,Leroy Garcia,6.4
62654,Samantha Hawes,Tressa Conde,1.0
62655,Jeffrey Taylor,Rachel Mula,3.6
62656,Gerardo Ogren,Philomena Davison,0.0
62657,Mary Leon,Edward Schaffer,4.2
62658,Paul Kirkland,Jeffery Turner,449.7
62659,Steven Cassem,Douglas Davis,2.8
62660,William Bates,Melissa Batters,8.0
62661,Elizabeth Langer,Kathleen Carter,0.7
62662,Tracy Ramirez,George Grant,3.9
62663,Troy Gowen,Theresa Harrell,7.0
62664,Joan Joyce,Alvin Miller,25.2
62665,Matthew Bacon,David Ryan,85.7
62666,Elaine Caple,Mike Peak,0.4
62667,Joshua Morris,Lavina Blankenship,8.8
62668,Samantha Hawes,Dixie Wilson,2.0
62669,Marie Simons,Emmett Greathouse,649.7
62670,Janet Boyd,Rita Thornton,2.9
62671,Janet Henry,Naomi Lee,2.2
62672,Michael Pearce,Andrea Hernandez,1.8
62673,Linda Wolfe,Barbara Kennedy,1.1
62674,Sandra Martin,Jennifer Farrar,0.9
62675,Keli Opie,Paul Burke,1.0
62676,Don Reed,Matthew Horton,0.4
62677,Janet Coles,Richard Robinson,123.6
62678,Robert Grissom,Dave Burke,30.5
62679,Jaime Becerra,Steve Ferrante,0.1
62680,Peter Route,Loretta Bond,0.4
62681,Elizabeth Morris,Maurice Hendrie,18.5
62682,Noreen Robinson,Sarah Norton,9.9
62683,Guy Trinh,Gwen Young,0.4
62684,Ada Mervis,David Goldberger,8.3
62685,Nicole Chisum,Sean Desano,0.3
62686,Barry Nagase,Anastasia Proctor,36.3
62687,William Ebinger,Mary Wilson,14.674000000000001
62688,Terri Hernandez,Darren Feliciano,5.1
62689,Blaine Thomas,Anna Mcfarling,21.1
62690,Gilbert Puryear,Clyde Garmon,1.1
62691,Alex Ponce,Allan Strain,4.6
62692,James Sherrod,Peggy Dowlin,2.8
62693,Jose Janelle,David Hendrickson,231.0
62694,Margaret Rossi,Adeline Fullwood,0.4
62695,Rachael Shumate,Jerry Atwell,5.8
62696,Elaine Taylor,James Casarez,0.2
62697,Ruby Gomez,Jane Billiot,0.4
62698,Victor Ouellette,Janet Martin,3.5
62699,Laura Cochran,Paul Kirkland,3.5
62700,Sherry Adams,Karen Stoker,5.0
62701,William Szymanski,Stephanie Mallette,5.8
62702,Mary Martin,James Roling,388.2
62703,Clay Mateo,Kina Miller,0.0
62704,Mark Bucher,Linda Wolfe,5.1
62705,Stephen Moss,Milagros Burroughs,32.7
62706,Angela Campbell,Juan Curran,8.4
62707,Michael Emory,Thomas Vargas,2.9
62708,Timothy Peterson,Jason Mumaw,36.7
62709,Theresa Harrell,Victor Ouellette,9.7
62710,Derek Fisher,Gloria Larson,4.2
62711,Matthew Bacon,Donald Ott,0.2
62712,Matthew Horton,Diane Watts,6.3
62713,Dionna Gough,Cindy Mooney,6.8
62714,Marcella Goodrich,Derek Eaton,165.7
62715,Alfred Doran,Dixie Wilson,1.5
62716,Randall Lopez,Nick Csaszar,5.5
62717,Fredric Barnes,Janet Henry,5.0
62718,Patrick Toupin,James Casarez,0.1
62719,Jennifer Estes,Dolores Roy,366.2
62720,David Martinez,Janis Moree,0.1
62721,Patricia Huang,Emmett Greathouse,0.9
62722,Barbara Martin,Wyatt Wedel,72.1
62723,Mary Glickman,Clyde Garmon,5.6
62724,Mario Hall,Dixie Wilson,4.6
62725,Elizabeth Peng,Teresa Erdmann,0.9
62726,Beverly Beebe,Jimmy Corcoran,5.4
62727,Stephanie Mallette,Linda Wolfe,12.3
62728,Henry Noah,Irma Copeland,9.0
62729,Madeline Green,Teresa Evans,92.113
62730,Robin Shelton,Kurt Vagliardo,0.4
62731,Shawn Harper,William Smolen,22.288999999999998
62732,Michael Peterson,Matthew Horton,9.0
62733,Sarah Mendoza,Edward Wang,6.6
62734,Ann Mcbride,Nancy Neubauer,259.1
62735,Robert Grissom,Ronald Jones,0.2
62736,Anastasia Judd,Clay Mateo,540.3
62737,Carlos Fields,Daniel Bivins,62.36
62738,Jeffrey Mosley,Jose Janelle,0.5
62739,Mario Hall,Robert Madonia,0.9
62740,Stanley Junkins,Anastasia Judd,6.7
62741,Shawn Harper,Juan Lampkin,2.5
62742,Joseph Lopez,Jason Goodrich,7.0
62743,Guy Trinh,Michael Harris,7.2
62744,Edwin Araujo,Sally Lamb,7.1
62745,Dale Langan,Robert Desouza,845.9
62746,Walter Keller,Adrian Evans,27.525
62747,Janice Dumlao,Alicia Maier,199.8
62748,Donald Irwin,Tina Sheridan,17.9
62749,Ruth Quezada,Justin Hamilton,0.2
62750,Raymond Samuel,Chester Stiltner,2.8
62751,Dale Stradley,Johnny Atwood,2.5
62752,Christopher Milla,Mimi Filion,4.9
62753,Sandra Fisher,Louise Davis,38.5
62754,Suzette Marston,Joseph Flint,2.1
62755,Luciana Vicars,Randall Bean,6.4
62756,Suzette Marston,Ruthann Tarrant,0.1
62757,Matthew Horton,Larry Greenblatt,2.3
62758,Joan Joyce,Maria Reny,4.6
62759,Irving Bennett,Douglas Finnie,7.2
62760,Luciana Vicars,Darrel Whitmer,0.4
62761,Lai Gardner,Troy Cervantes,7.5
62762,Ann Donaldson,Lena Patterson,7.1
62763,Stephanie Mallette,Jo Patterson,20.363
62764,Sandra Wagaman,Joan Bailey,16.827
62765,Jennifer Farrar,Stefani Brandenburg,0.1
62766,Sarah Norton,Gayle Devine,21.5
62767,Marcella Goodrich,Cynthia Johnson,2.2
62768,Petra Ingram,Judith Billings,297.0
62769,Maria Schappert,Grace Mendez,3.4
62770,David Shelpman,Naomi Lee,153.0
62771,Donna Fortin,Alice Shay,2.0
62772,Alicia Martin,Helen Silmon,51.3
62773,William Bates,Ronald Herriman,0.1
62774,Stephanie Mallette,Avis Craft,0.1
62775,Cesar Jones,Jeffrey Lewis,6.5
62776,Kenneth Ballance,Doris Sampson,0.1
62777,Matthew Bacon,Troy Gowen,5.4
62778,Mary Garcia,Peter Castillo,7.7
62779,Eugene Rhodes,Amber Hicks,7.9
